source;page;type;content
CBE Law No. 194 of 2020.pdf;10;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ الباب الثانى البنك المركزى المصرى ( الفصل الا'ول أحكام عامة مادة (٢) البنك المركزى جهاز رقابى مستقل له شخصية اعتبارية عامة يتبع رئيس الجمهورية ويتمتع بالاستقلال الفنى والمالى والإدارى ويؤخذ رأيه فى مشروعات القوانين واللوائح المتعلقة بمجال عمنه مادة (٣) : المركز الرئيسى للبنك المركزى وموطنه القانونى محافظة القاهرة وللبنك المركزى بقرارمن مجلس الإدارة أن ينشئ له فروعًا ومكاتب وأن يتخذ وكلاء ومراسلين نه فى داخل البلاد وخارجها مادة (٤) الحل الأدنى لرأس امال المدفوع للبنك المركزى عشرون مليار جنيه وتكون زيادة رأسمال البنك المركزي بقرار من مجلس الإدارة وذلك بتجنيب نسبة من الأرباح السنوية الصافية أومن الاحتياطيات أوبتمويل من الخزانة العامة مباشرة بموافقة وزير المالية ولا يجوز أن تظهر حقوق اللكية بقيمة سالبة وفى حالة حدوث ذلك يتعين تغطيتها من الخزانة العامة للدولة خلال فترة لا تجاوز تسعين يومًا من تاريخ إخطار وزير المالية وذلك بعد العرض على مجلس الوزراء خلال تلك المدة وتكون التغطية إما نقدا أوفى صورة أدوات دين قابلة للتداول بأسعار العائد السائدة بالسوق مادة (٥) تعتبر أموال البنك المركزي أموالا خاصة
CBE Law No. 194 of 2020.pdf;11;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ( الفصل الثانى أهداف البنك المركزى واختصاصاته مادة (٦) يهدف البنك المركزى إلى سلامة النظا النقدى والمصرفى واستقرار الأسعار فى إطار السياسة الاقتصادية العامة للدولة مادة (٧) يباشرالبنك المركسزى جميع الاختصاصات اللازمة لتحقيق أه دافسه وله على الأخص ما يأتى ( أا إصدار النقد وإدارته وتحديد فئاته ومواصفاته ابا وضع السياسة النقدية وتنفيذها وإصدار الأوراق والأدوات المالية بما يتناسب مع طبيعة أمواله ونشاطه والدخول فى عمليات السوق المفتوحة وذلك دون التقيد بحكم المادة (٤٦٥) من القانون المدنى اجدا وضع نظام وسياسة سعر الصرف الأ جنبى وتنفيذها وتنظيم سوق الصرف الأجنبى ورقابته ادا إصدار اللوائح والتعليمات الرقابية للجهات المرخص لها والمسئولين الرئيسيين والإشراف والرقابة عليها اها وضع سياسة إدارة المخاطر الكلية فى النظام المصرفى وتنفيذها ( إدارة الأزمات المصرفية وتسوية أوضاع البنوك المتعثرة ازا الاحتفاظ باحتياطيات الدولة من الذهب والنقد الأجنبى وإدارتها اح) القيام بدور المستشار والوكيل امالى للحكومة اط) حصر ومتابعة المديونية الخارجية على الحكومة والهيئات العامة اخدمية والاقتصادية وشركات القطاع العام وقطاع الأعمال العام والقطاع الخاص
CBE Law No. 194 of 2020.pdf;12;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ ٢ اى) العملعلى حماية حقوق عملا الجهات المرخص لها وتسوية المنازعات ذات الصلة اك) العمل على حماية المنافسة وتعزيزها ومنع الممارسات الاحتكارية بالجهات المرخص لها (ل) العمل على تحقيق سلامة نظم وخدمات الدفع . ورفع كفاءتها مادة (٨) : يتخذ البنك المركزى الوسائل التى تكفل تحقيق أهدافه والنهوض باختصاصاته وله على الأخص ما يأتى ) ( التعاون _ وتبادل المعلومات مع الجهات الأجنبية المناظرة اب) المساهمة والاشتراك فى المؤسسات والجهات الدولية ذات الصلة بمجال عمله اجدا القيام بأنشطة المقاصة والتسوية المالية والإيداع والقيد والحفظ المركزى للأوراق والأدوات المالية الحكومية وتشغيل النظم الخاصة بها وذلك طبقًا للأحكام المقررة بقسانون الإيسداع والقيد المركزى للأوراق والأدوات المالية الصادر بالقانون رقم ٩٣ لسنة ٢ اد ) تعزيز الشمول الالى والعمل على توسيع قاعدة الستفيدين من الخدمات المصرفية ووضع الأطر التى تهدف إلى خفض الاستخدام المادى للنقود (ه ) تأسيس - شركات مساهمة بمفرده أومع شركا . ع آخرين أو المساهمة فى شركات قائمة وذلك بما يلزم لتحقيق أهدافه والنهوض باختصاصاته ( إنشاء نظم وخدمات الدفع وإدارتها ازا القيام بأىمهام أواتخاذ أى إجراءات يقتضيها تطبيق السياسات النقدية والائتمانية والمصرفية اح) وضع القواعد المتعلقة بمنع تعارض المصالح بالجهات المرخص لها ووضع الأطر الفعالة لإدارتها
CBE Law No. 194 of 2020.pdf;13;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (٩) : للبنك المركزى أن يقدم تمويلاً للجهات - التى يساهم فيها وللمنشآت وللهيئات الأجنبية والدولية وذلك طبقًا للشروط والقواعد والضمانات التى يقرها مجلس الإدارة ولا يجوز للبنك المركزى تقديم قروض أوضمانات أودعم مالى إلى البنوك باستثنا تلك المتعلقة بعمليات السياسة النقدية والتسهيلات الائتمانية لليوم الواحد وعمليات منح السيولة الطارئة والتمويل الذى يقدم نيابة عن الحكومة وضمان الحصول على التمويل والتسهيلات الائتمانية بالنقد الأجنبى من خارج البلاد مقابل ضمانات كافية يقبلها مجلس الإدارة مادة (١٠ ) لمجلس الإدارة الموافقة على منح تمويل طارئ لأى بنك يعانى نقصًا فى السيولة بالشروط الآتية ( أ أن يكون البنك ذا ملاءة مالية اب) ألا تزيد مدة التمويل على ١٨٠١) يومًا يجوز مدها لفترة أو فترات أخرى على ألا يزيد إجمالى مدة التمويل على سنة اجا أن يكون التمويل مقابل ضمانات كافية يقبلها البنك المركزى اد) أن يكون سعر العائد المطبق على التمويل أعلى من متوسط أسعار الإقراض السائدة بالسوق مادة (١١) : مع عدم الإخلال بأحكام | المادة (١٠) من هذا القانون يجوز لمجلس الإدارة فى الظروف الاستثنائية الموافقة على تقديم تمويل للبنوك ذات الملاءة امالية المنخفضة أو الرجح تعثرها بصفته وكيلاً عن الحكومة طبقًا للشروط الآتية ( أا أن يكون تقديم الدعم ضروريًا للحفاظ على النظام المصرفى اب) قابلية البنك للاستمرار من خلال خطة إعادة هيكلة أوضاعه أو تسويتها خلال فترة زمنية يحددها البنك المركزى
CBE Law No. 194 of 2020.pdf;14;PDF;١٤ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ اجا ألا تجاوز مدة التمويل (١٨٠) يومًا يجوز مدها لفترة أو فترات _أخرى على ألا يزيد إجمالى مدة التمويل على سنة اد) أن يكون ذلك مقابل ضمانات كافية من البنك يقبلها البنك المركزى اها أن يكون سعر العائد المطبق على التمويل أعلى من متوسط أسعار الإقراض السائدة بالسوق ( أن توافق وزارة المالية على تقديم ضمان قانونى للبنك المركزى تتعهد فيه بتوفير المخصص المالى لكامل التمويل القدم ويخضع البنك . القدم له التمويل فى هذه الحالة للرقابة المشددة من البنك المركزي مادة (١٢ ) للبنك المركزى أن يتعهد بتوفير العملات الأجنبية لسداد التمويل والتسهيلات الائتمانية التى تحصل عليها البنوك أوالأشخاص الاعتبارية العامة من البنوك والمؤسسات المالية والهيئات الأجنبية والدولية وذلك طبقًا للشروط والقواعد التى يقررها مجلس الإدارة مادة ( ١٣ ) للبنك المركزى فى سبيل مباشرة اختصاصاته فتح حسابات نقدية أو بالمعادن النفيسة أو الأوراق والأدوات المالية لصالح أى من الجهات الآتية ( أ) البنوك اب) البنوك المركزية والحكومات الأجنبية والمؤسسات المالية الدولية والأجنبية اجدا البنوك الأجنبية اد ) الحكومة والأشخاص الاعتبارية العامة اها الشركات المرخص لها بالعمل فى مجال نظم وخدمات الدفع ( الجهات - التى يساهم فيها البنك المركزى ويحظر على البنك المركزي فتح حسابات لأى جهات أو أشخاص آخرين فيما عدا العاملين لديه الحاليين والسابقين
CBE Law No. 194 of 2020.pdf;15;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ كما يجوز للبنك المركزى فتح حسابات نقدية أو بالمعادن النفيسة أو الأوراق والأدوات امالية لدى أى من ( أ) البنوك (ب) البنوك الركزية والبنوك الأجنبية والمؤسسات المالية الدولية ومؤسسات الإيداع وأمناء الحفظ وذلك كله طبقًا للقواعد والشروط _ التى يحددها مجلس الإدارة مادة (١٤ ) : يختص البنك المركزى بجمع وتحليل البيانات والمعلومات والإحصاءات النقدية والمصرفية والمالية كما يختص دون غيره بإعداد ميزان المدفوعات ونشره ويحدد البنك المركزى البيانات والمعلومات والإحصاءات المطلوبة والجهات المعنية بتقديها وضوابط المحافظة على سريتها ومواعيد تقديمها وتلتزم الجهات المعنية بتزويد البنك المركزى بالبيانات والمعلومات والإحصاءات المشار إليها مادة (١٥ ) : للبنك المركزى أن يحتفظ ضمن الاحتياطيات الأجنبية بأى من الأصول الآتية ( أ) الذهب والمعادن النفيسة الأخرى اب) الأرصدة بالعملات الأجنبية المحتفظ بها فى حساباته أو لصالحه لدى البنوك أو البنوك الركزية الأجنبية أو البنوك الأجنبية أو المؤسسات المالية الدولية (ج ا سندات الدين المتداولة بعملات أجنبية الصادرة أو الضمونة من الحكسومات أو البنوك المركزية الأجنبية أو المؤسسات المالية الدولية اد ) المطالبات المستحقة على المؤسسات المالية الدولية اها ما يحدده مجلس الإدارة من أصول مالية متداولة بالعملات الأجنبية وذلك كله طبقًا للشروط والقواعد _ التى يحددها مجلس الإدارة
CBE Law No. 194 of 2020.pdf;16;PDF;١٦ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٦ ) ينشأ بالبنك الركزى نظام لتسجيل بيانات العملا لإعداد الدراسات اللازمة لتعزيز الشمول المالى وتطوير الخدمات المصرفية . وذلك طبقًا للضوابط والإجراءات التى يحددها مجلس الإدارة مع مراعاة المحافظة على سريتها ( الفصل الثالث إدارة البنك المركزى وحوكمته مادة (١٧ ) : يكون للبنك الركزى محافظ بدرجة نائب رئيس مجلس الوزراء يصدر بتعيينه قرار من رئيس ا لجمهورية بعد موافقة مجلس النواب بأغلبية أعضائه لمدة أربع سنوات قابلة للتجديد لمرة واحدة ويحدد القرار المعاملة الماليةله ويحظر على الحافظ ما يحظر على الوزراء ويعامل المحافظ من حيث العاش معاملة نائب رئيس مجلس الوزرا . ويكون قبول استقالة المحافظ بقرار من رئيس ا لجمهورية مادة (١٨) : يكون للمحافظ نائبان يعين كل منهما بقرار من رئيس الجمهورية بناءً على ترشيح المحافظ لمدة أربع سنوات قابلة للتجديد ويحدد القرار المعاملة المالية لهما وفى حالة غياب المحافظ أو وجود مانع لديه يحل محله فى ممارسة اختصاصاته أقدم النائبين فإن غاب النائب حل محله النائب الآخر ويعامل نائب الحافظ من حيث المعاش معاملة الوزير ويكون قبول استقالته بقرار من رئيس / لجمهورية كما يكون للمحافظ وكلاء يعينون بقرارمن مجلس الإدارة بنساءً على ترشيح من المحافظ
CBE Law No. 194 of 2020.pdf;17;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة (١٩) يمثل المحافظ البنك المركزى أمام | القضا وفى صلاته الغير بما فى ذلك الجهات والهيئات الدولية ويتولى تصريف جميع شئونه وذلك دون الإخلال باختصاصات مجلس الإدارة ولجانه ويعاون المحافظ فى ذلك نائباه ووكلاؤه كل فى حدود اختصاصه ويجوز للمحافظ أن يفوض بعضًا من اختصاصاته إلى أى من نائبيه أو وكلائه ويخطر مجلس الإدارة بذلك ويقدم المحافظ لمجلس الإدارة تقريرا عن أعمال الإدارة التنفيذية للبنك المركسزى كل ثلاثة أشهر مادة (٢٠ ) : يشكل مجلس الإدارة برئاسة المحافظ وعضوية كل نائبى الحافظ رئيس الهيئة العامة للرقابة المالية سبعة أعضا غير تنفيذيين من ذوى الخبرة فى المسائل الاقتصادية أوالنقدية أو المصرفية أوالمالية أوالقانونية أوالمحاسبية أو تكنولوجيا المعلومات يكون من بينهم اثنان من ذوى الخبرة فى السائل الاقتصادية ويصدر بتعيينهم قرارمن رئيس ا لجمهورية بناءً على ترشيح المحافظ وبعد أخذ رأى رئيس مجلس الوزراء لمدة أربع سنوات قابلة للتجديد لمرة واحدة ويجوز أن يكون من بينهم أعضا متفرغون لعضوية المجلس واللجان المنبثقة عنه وإذا خلا مكان أى عضومن الأعضا غير التنفيذيين قبل انتها مدته يعين عضو آخر محله لاستكمال المدة الباقية وذلك خلال ستين يومًا من خلو مكان العضو السابق ويصدر بتشكيل المجلس وتحديد مكافآت أعضائه غير التنفيذيين وبدلات حضور جلساته قرار من رئيس الجمهورية بناءً على اقتراح المحافظ
CBE Law No. 194 of 2020.pdf;18;PDF;١٨ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ مادة ( ٢١ ) : يشترط فى كل من المحافظ ونائبيه وأعضا مجلس الإدارة ما يأتى (أ) أن يكون مصريًا من أبوين مصريين اب) أن يكون متمتعًا بحقوقه المدنية والسياسية اجدا أن يكون حسن السمعة محمود السيرة ولم يصدرضده حكم نهائى فى جناية أو فى جنحة ماسة بالشرف أو الأمانة أو أشهر إعساره أو إفلاسه اد) ألا يكون قد سبق فصله من العمل بإحدى الوظائف أوشطبه من إحدى النقابات المهنية بقرار أوبحكم تأديبى نهائى اها ألا تكون له أو للجهة التى يعمل بها مصالح , جدية تتعسارض مع واجباته أويكون من شأنها أن تؤثر فى حيدته أواستقلاليته فى المداولات واتخاذ القرار ( ألا يمتلك هوأو زوجه أو أى من أولاده القصر _ أسهمًا فى إحدى الجهات المرخص لها وفى حالة امتلاكه هوأو زوجه أو أولاده القصر لأى _ أسهم يتعين عليهم التصرف فيها خلال شهرين من تاريخ التعيين أومن تاريخ أيلولة تلك الأسهم إلى أى منهم ازا ألا يجمع بين عضويته فى مجلس الإدارة والعضوية فى أحد مجالس إدارة الجهات المرخص لها أوأن يكون من العاملين بها أوممن يقدمون لها خدمات مهنية أو استشارية اح) ألا يجمع بين عضويته فى مجلس الإدارة والعضوية فى أى حزب سياسى اط) ألا يكون عضوً فى الحكومة مادة (٢٢ ) : مجلس الإدارة هوالسلطة المختصة بوضع نظم البنك المركزى وسياساته والإشراف على تنفيذها وله فى سبيل ذلك جميع الصلاحيات اللازمة وعلى الأخص ما يأتى ( أ اعتماد السياسات المالية والاستثمارية للبنك الركزى ومراقبة تنفيذها واعتماد الموازنة التقديرية والقوائم المالية والتقارير التى يعدها عن مركزه المالى ونتائج أعماله
CBE Law No. 194 of 2020.pdf;19;PDF;٩ الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢٠٢٠ اب) تحديد فئات النقد ومواصفاته وقواعد إصداره وتداوله وكيفية تقييم الأصول التى تقابله اج) إصدار اللوائح والقرارات والمعايير والضوابط والتعليمات التنظيمية والرقابية للجهات المرخص لها اد ) زيادة رأسمال البنك المركزي - وتكوين الاحتياطيات اللازمة من الأرباح اها اعتماد نظم إعداد التقارير المالية وسياسات إدارة المخاطر والالتزام وتكنولوجيا المعلومات والرقابة الداخلية بالبنك المركزى ( اعتماد الهيكل التنظيمى للبنك المركزى ويجوز أن يشمل هذا الهيكل وحدات ذات طابع خاص يكون لها استقلال فنى ومالى وإدارى يصدر بإنشائها وتشكيلها ونظام عملها قرارمن مجلس الإدارة بناءً على اقتراح المحافظ ازا العمل على ضمان استقلالية وظائف الراجعة الداخليسة والالتزام والمخاطر بالبنك المركزى اح) إصدار اللوائح والنظم الداخلية المتعلقة بشئون البنك المركزى المالية والإدارية والفنية ولائحة تنظيم التعاقدات ولائحة العاملين به والجزا ءات التأديبية الخاصة بهم وذلك كله دون التقيد بالقوانين أواللوائح أوالقرارات المعمول بها فى أجهزة الدولة أوفى أى جهة أخرى اطا قبول المنح وعقد القروض مع الجهات المحلية والأجنبية مادة ( ٢٣ ) يجتمع مجلس الإدارة بمقر مركزه الرئيسى مرة على الأقل كل شهر وذلك بدعوة من المحافظ أو بناءً على دعوة من ثلثى أعضاء الجلس ويجوز أن يدعى مجلس الإدارة للانعقاد خارج مقر البنك المركزى بشرط أن يكون داخل جمهورية مصر العربية ولا يكون اجتماع مجلس الإدارة صحيحًا إلا بحضور أغلبية أعضائه على أن يكون من بينهم المحافظ أو أحد نائبيه وتصدر القرارات بأغلبية أعضا ع مجلس الإدارة وفى حالة التساوى يرجح الجانب الذى منه رئيس / لجلسة
CBE Law No. 194 of 2020.pdf;20;PDF;الجريدة الرسمية العدد ٣٧ مكرر ( فى ٥ سبتمبر سنة ٢ ويجوز المشاركة فى اجتماع مجلس الإدارة باستخدام إحدى وسائل الاتصال البصرية أو السمعية المؤمنة وتحسب هذه المشاركة ضمن نصاب احضور والتصويت على ألا يجاوز عدد مستخدمى تلك الوسائل ثلث عدد الأعضاء الشاركين فى الا٠ جتماع وتكون مداولات مجلس الإدارة سرية ويحدد مجلس الإدارة بقرار منه إجراءات عمله ونظامه مادة (٢٤ ) يعفى المحافظ ونائباه من مناصبهم كما تنتهى عضوية أعضاء مجلس الإدارة غير التنفيذيين وذلك فى غير حالات الاستقالة أوالوفاة بقرار من رئيس الجمهورية بناءً على توصية من مجلس الإدارة بعد السماح للعضو بإبداء دفاعه وذلك فى أى من الحالات الآتية ( أ) إذا فقد أحد شروط المنصب أو العضوية اب ) إذا أصبح غير قادر على أدا ع مهامه لأسباب صحية اجا إذا أخل بواجبات المنصب أو العضوية إخلالاً جسيمًا اد ) إذا تغيب عن الحضور ثلاث جلسات متتالية أو خمس جلسات متفرقة خلال السنة دون عذر يقبله مجلس الإدارة مادة (٢٥ ) لمجلس الإدارة أن يقرر تشكيل لجان من بين أعضائه لمباشرة الاختصاصات التى يعهد بها إليها على أن يكون, من بينها لجنة الراجعة ولجنة السياسة النقدية ولجنة الإدارة العليا ولجنة الاستثمار ولجنة المخاطر ويعتمد مجلس الإدارة نظام عمل هذه اللجان . ولها أن تستعين بمن تراه لباشرة مهامها ويجوز أن يضم مجلس الإدارة إلى تشكيل تلك اللجان عضوا من ذوى الخبرة من غير أعضائه ويسرى فى شأنه ذات الشروط المنصوص عليها فى المادة (٢١) من هذا القانون وتكون مداولات هذه اللجان سرية
